center,left,right,label
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_30.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_30.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_30.mp4,30
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_31.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_31.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_31.mp4,31
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_32.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_32.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_32.mp4,32
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_33.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_33.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_33.mp4,33
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_34.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_34.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_34.mp4,34
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_35.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_35.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_35.mp4,35
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_36.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_36.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_36.mp4,36
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_37.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_37.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_37.mp4,37
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_38.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_38.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_38.mp4,38
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_39.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_39.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_39.mp4,39
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_40.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_40.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_40.mp4,40
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_41.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_41.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_41.mp4,41
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_42.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_42.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_42.mp4,42
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_43.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_43.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_43.mp4,43
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_44.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_44.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_44.mp4,44
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_45.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_45.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_45.mp4,45
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_46.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_46.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_46.mp4,46
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_47.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_47.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_47.mp4,47
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_48.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_48.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_48.mp4,48
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_49.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_49.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_49.mp4,49
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_50.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_50.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_50.mp4,50
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_51.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_51.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_51.mp4,51
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_52.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_52.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_52.mp4,52
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_53.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_53.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_53.mp4,53
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_54.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_54.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_54.mp4,54
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_55.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_55.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_55.mp4,55
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_56.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_56.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_56.mp4,56
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_57.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_57.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_57.mp4,57
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_58.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_58.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_58.mp4,58
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_59.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_59.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_59.mp4,59
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_60.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_60.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_60.mp4,60
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_61.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_61.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_61.mp4,61
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_62.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_62.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_62.mp4,62
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_63.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_63.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_63.mp4,63
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_64.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_64.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_64.mp4,64
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_65.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_65.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_65.mp4,65
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_66.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_66.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_66.mp4,66
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_67.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_67.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_67.mp4,67
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_68.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_68.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_68.mp4,68
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_69.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_69.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_69.mp4,69
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_70.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_70.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_70.mp4,70
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_71.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_71.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_71.mp4,71
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_72.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_72.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_72.mp4,72
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_73.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_73.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_73.mp4,73
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_74.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_74.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_74.mp4,74
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_75.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_75.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_75.mp4,75
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_76.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_76.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_76.mp4,76
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_77.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_77.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_77.mp4,77
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_78.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_78.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_78.mp4,78
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_79.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_79.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_79.mp4,79
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_80.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_80.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_80.mp4,80
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_81.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_81.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_81.mp4,81
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_82.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_82.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_82.mp4,82
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_83.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_83.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_83.mp4,83
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_84.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_84.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_84.mp4,84
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_85.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_85.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_85.mp4,85
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_86.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_86.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_86.mp4,86
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_87.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_87.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_87.mp4,87
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_88.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_88.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_88.mp4,88
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_89.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_89.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_89.mp4,89
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_90.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_90.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_90.mp4,90
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_91.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_91.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_91.mp4,91
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_92.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_92.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_92.mp4,92
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_93.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_93.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_93.mp4,93
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_94.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_94.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_94.mp4,94
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_95.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_95.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_95.mp4,95
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_96.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_96.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_96.mp4,96
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_97.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_97.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_97.mp4,97
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_98.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_98.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_98.mp4,98
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_99.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_99.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_99.mp4,99
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_100.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_100.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_100.mp4,100
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_101.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_101.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_101.mp4,101
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_102.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_102.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_102.mp4,102
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_103.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_103.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_103.mp4,103
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_104.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_104.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_104.mp4,104
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_105.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_105.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_105.mp4,105
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_106.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_106.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_106.mp4,106
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_107.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_107.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_107.mp4,107
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_108.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_108.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_108.mp4,108
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_109.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_109.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_109.mp4,109
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_110.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_110.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_110.mp4,110
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_111.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_111.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_111.mp4,111
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_112.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_112.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_112.mp4,112
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_113.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_113.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_113.mp4,113
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_114.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_114.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_114.mp4,114
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_115.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_115.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_115.mp4,115
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_116.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_116.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_116.mp4,116
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_117.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_117.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_117.mp4,117
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_118.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_118.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_118.mp4,118
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_119.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_119.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_119.mp4,119
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_120.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_120.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_120.mp4,120
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_121.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_121.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_121.mp4,121
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_122.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_122.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_122.mp4,122
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_123.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_123.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_123.mp4,123
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_124.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_124.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_124.mp4,124
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_125.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_125.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_125.mp4,125
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_126.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_126.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_126.mp4,126
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_127.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_127.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_127.mp4,127
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_128.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_128.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_128.mp4,128
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_129.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_129.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_129.mp4,129
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_130.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_130.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_130.mp4,130
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_131.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_131.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_131.mp4,131
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_132.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_132.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_132.mp4,132
05_Viet-Anh_1-200_4-5-6_0108___center_device05_signer05_center_ord1_133.mp4,05_Viet-Anh_1-200_4-5-6_0108___left_device04_signer05_left_ord1_133.mp4,05_Viet-Anh_1-200_4-5-6_0108___right_device06_signer05_right_ord1_133.mp4,133
